PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/01/1997,21,13,5,12,7,2,100,75,46,1022,1020,1018,6,2,0,16,2,,0,1,Fog,322
02/01/1997,22,13,5,11,7,0,93,73,30,1019,1016,1014,5,3,1,13,3,,0,0,,277
03/01/1997,21,13,5,10,7,4,93,80,46,1017,1015,1014,5,3,0,10,0,,0,2,,155
04/01/1997,19,13,7,12,8,6,93,82,60,1018,1017,1016,4,2,0,10,2,,0,3,Fog,108
05/01/1997,19,11,4,10,6,2,93,80,55,1020,1018,1016,4,2,0,13,0,,0,0,Fog,310
06/01/1997,21,12,4,8,6,3,93,65,31,1022,1020,1018,7,4,1,13,3,,0,0,Fog,317
07/01/1997,20,12,4,7,4,1,93,71,28,1021,1020,1019,7,3,1,13,2,,0,0,,297
08/01/1997,24,13,3,9,3,0,93,68,27,1023,1021,1020,5,3,1,10,2,,0,0,,310
09/01/1997,22,13,4,5,2,0,87,57,23,1023,1021,1020,7,3,1,13,3,,0,1,,288
10/01/1997,21,13,5,5,2,-3,87,58,21,1022,1019,1018,7,4,2,19,3,,0,2,,286
11/01/1997,21,13,5,6,3,0,87,58,25,1021,1019,1018,8,4,1,13,3,,0,1,,270
12/01/1997,19,11,3,8,4,-1,93,69,28,1021,1019,1018,5,3,1,13,0,,0,0,,90
13/01/1997,19,10,2,7,3,0,93,65,35,1020,1017,1015,6,3,0,13,2,,0,0,,262
14/01/1997,20,11,3,6,3,0,87,62,33,1019,1017,1015,4,2,1,10,2,,0,1,,261
15/01/1997,20,11,3,6,3,1,93,58,28,1019,1018,1016,4,3,1,10,2,,0,1,,217
16/01/1997,20,11,3,8,3,1,93,71,33,1020,1018,1016,5,2,1,16,2,,0,0,Fog,285
17/01/1997,20,13,7,6,4,2,76,62,33,1019,1017,1016,4,4,1,13,5,,0,3,,282
18/01/1997,18,13,9,8,6,4,76,64,45,1019,1017,1014,4,3,2,23,3,,0,6,,276
19/01/1997,13,11,10,10,9,7,100,88,67,1014,1010,1006,4,3,2,13,6,,0,8,Rain,96
20/01/1997,12,10,9,9,8,7,94,88,82,1023,1011,1008,4,3,3,13,2,,0,7,Rain,281
21/01/1997,12,10,8,9,8,6,100,89,77,1019,1016,1013,5,2,0,13,2,,0,5,Fog,53
22/01/1997,16,10,5,13,7,5,100,84,59,1021,1018,1014,8,4,0,13,2,,0,2,Fog,282
23/01/1997,18,13,8,8,7,3,87,73,39,1016,1015,1014,10,5,4,16,6,,0,2,,285
24/01/1997,19,13,7,6,5,3,93,65,37,1017,1015,1013,7,4,3,21,6,,0,0,,302
25/01/1997,19,12,5,8,5,3,87,64,37,1017,1015,1013,10,5,3,23,5,,0,0,,307
26/01/1997,17,10,4,7,4,1,87,68,42,1019,1016,1015,5,4,1,13,2,,0,5,,299
27/01/1997,18,14,10,9,8,7,94,76,52,1021,1019,1017,8,5,2,132,13,,0,4,Rain,311
28/01/1997,18,13,8,9,7,5,87,74,52,1020,1018,1016,8,5,4,16,10,,0,1,,306
29/01/1997,19,12,6,9,7,5,93,73,46,1017,1015,1013,7,4,3,13,2,,0,4,,273
30/01/1997,18,12,6,11,8,5,93,75,59,1017,1014,1012,5,3,0,10,2,,0,2,Fog,113
31/01/1997,19,12,5,9,7,4,93,71,52,1013,1012,1010,6,3,1,13,3,,0,0,Fog,294
