PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/05/1997,33,27,22,18,17,14,78,60,31,1013,1011,1008,10,6,5,19,6,,0,2,,151
02/05/1997,31,26,20,19,17,10,94,61,40,1011,1009,1006,8,6,5,19,8,,0,5,Rain-Thunderstorm,83
03/05/1997,31,26,20,19,18,17,88,68,46,1010,1008,1006,8,7,5,19,11,,0,4,Rain-Thunderstorm,343
04/05/1997,28,24,20,19,17,14,88,63,51,1009,1007,1004,10,7,5,19,13,,0,5,Thunderstorm,295
05/05/1997,26,23,20,19,17,16,94,73,54,1009,1007,1005,10,8,6,27,13,,0,4,,57
06/05/1997,33,26,19,19,17,15,83,60,38,1009,1006,1004,10,8,7,19,13,,0,1,,339
07/05/1997,27,23,20,19,18,17,88,73,61,1009,1005,1003,10,7,7,27,8,,0,4,Rain-Thunderstorm,40
08/05/1997,30,23,17,17,14,12,94,62,35,1011,1008,1006,10,8,6,29,14,,0,2,Rain-Thunderstorm,291
09/05/1997,31,24,19,13,11,7,68,41,22,1012,1010,1008,10,9,7,19,11,,0,1,,332
10/05/1997,34,27,20,14,9,5,57,34,17,1008,1006,1005,8,7,7,23,10,,0,0,,299
11/05/1997,35,28,20,15,10,5,64,38,15,1007,1006,1005,10,7,6,27,6,,0,2,,339
12/05/1997,36,28,20,15,11,7,60,37,18,1007,1006,1003,10,8,7,24,13,,0,1,,339
13/05/1997,35,27,19,11,9,6,52,33,16,1008,1006,1004,8,6,3,34,14,,0,1,Thunderstorm,346
14/05/1997,32,26,20,14,11,9,60,40,25,1010,1008,1007,8,7,5,19,11,,0,1,,276
15/05/1997,34,27,21,16,12,8,65,41,21,1010,1008,1007,10,8,6,13,3,,0,0,,254
16/05/1997,37,29,22,16,10,3,69,36,12,1008,1006,1003,7,7,5,19,5,,0,1,,302
17/05/1997,38,29,21,16,13,8,68,39,17,1006,1003,1001,7,6,5,138,11,,0,1,,313
18/05/1997,37,31,26,16,9,3,51,28,17,1005,1002,1001,8,7,6,24,13,,0,4,,346
19/05/1997,37,29,21,13,8,4,44,28,14,1004,1002,1000,8,7,7,16,10,,0,0,,309
20/05/1997,39,30,22,16,12,8,50,33,17,1001,1000,999,10,7,5,13,3,,0,0,,305
21/05/1997,40,31,23,17,14,10,65,38,19,1003,1001,1000,10,7,5,13,2,,0,1,,238
22/05/1997,41,32,24,19,17,15,65,41,24,1006,1002,1001,10,7,1,26,5,47,0,1,Rain-Thunderstorm,281
23/05/1997,32,28,25,18,17,16,65,54,38,1005,1004,1004,8,7,5,37,23,55,0,5,Rain-Thunderstorm,88
24/05/1997,40,33,26,19,17,15,65,36,23,1004,1002,1001,10,8,4,16,8,,0,1,,235
25/05/1997,39,31,23,20,17,15,73,45,24,1003,1001,1000,8,7,6,16,6,,0,1,,105
26/05/1997,38,33,28,19,16,12,54,37,21,1005,1002,1000,8,6,3,27,13,40,0,2,Thunderstorm,49
27/05/1997,41,33,26,19,16,13,58,38,20,1002,1000,999,8,8,7,14,8,,0,1,,359
28/05/1997,41,33,27,20,16,12,61,35,19,1001,1000,998,10,7,1,64,10,,0,2,Thunderstorm,89
29/05/1997,37,30,23,19,16,14,73,43,27,1003,1001,999,10,9,7,24,14,,0,3,Thunderstorm,71
30/05/1997,39,31,24,18,14,10,69,36,22,1002,1001,998,10,7,6,37,11,,0,2,Thunderstorm,49
31/05/1997,32,27,22,21,17,13,88,58,31,1008,1007,1004,10,8,5,19,10,,0,4,Thunderstorm,138
