PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/10/1997,23,18,18,17,17,16,88,83,69,1012,1010,1009,6,5,3,3,0,,0,0,,270
02/10/1997,,,,,,,,,,,,,,,,,,,,,,
03/10/1997,,,,,,,,,,,,,,,,,,,,,,
04/10/1997,,,,,,,,,,,,,,,,,,,,,,
05/10/1997,,,,,,,,,,,,,,,,,,,,,,
06/10/1997,28,23,19,19,17,15,88,69,48,1017,1013,1011,10,8,6,10,3,,0,3,,31
07/10/1997,,,,,,,,,,,,,,,,,,,0,,,-1
08/10/1997,,,,,,,,,,,,,,,,,,,,,,
09/10/1997,,,,,,,,,,,,,,,,,,,,,,
10/10/1997,,,,,,,,,,,,,,,,,,,,,,
11/10/1997,29,27,25,17,15,13,48,46,44,1015,1014,1013,6,6,6,10,3,,0,1,,15
12/10/1997,27,22,18,18,17,16,88,73,54,1017,1016,1015,5,4,3,13,2,,0,1,,330
13/10/1997,30,24,19,19,17,15,88,60,42,1015,1014,1012,8,6,5,10,2,,0,1,,328
14/10/1997,31,24,19,19,17,15,88,66,38,1015,1013,1012,8,6,2,11,2,,0,0,,256
15/10/1997,30,24,19,20,18,17,88,70,45,1015,1013,1012,8,6,4,13,3,,0,4,,313
16/10/1997,29,24,19,19,18,16,88,70,51,1016,1014,1013,7,5,4,13,3,,0,4,Thunderstorm,336
17/10/1997,25,22,18,19,17,16,94,80,65,1019,1017,1014,8,7,5,21,10,,0,5,Rain-Thunderstorm,40
18/10/1997,28,22,17,18,16,13,94,70,45,1018,1016,1014,10,7,4,21,6,,0,3,,328
19/10/1997,27,22,17,17,16,14,94,76,51,1015,1013,1011,7,6,4,26,5,,0,5,Rain-Thunderstorm,322
20/10/1997,21,18,16,17,16,14,94,89,78,1015,1013,1012,7,5,3,23,18,,0,5,Rain-Thunderstorm,88
21/10/1997,23,19,15,17,16,13,88,81,64,1017,1015,1014,10,7,5,14,6,,0,5,Thunderstorm,94
22/10/1997,20,18,15,18,16,14,100,89,78,1016,1015,1014,8,4,0,16,2,,0,3,Fog,299
23/10/1997,23,19,15,17,15,14,94,78,57,1017,1015,1014,8,6,3,13,5,,0,3,Rain,93
24/10/1997,,,,,,,,,,,,,,,,,,,,,,
25/10/1997,26,20,15,17,16,13,94,74,54,1021,1019,1018,10,6,2,11,2,,0,4,,125
26/10/1997,23,20,17,17,16,13,88,78,65,1019,1017,1016,8,6,4,16,3,,0,5,,257
27/10/1997,26,20,15,16,14,12,94,71,44,1018,1016,1015,10,6,1,13,5,,0,2,,311
28/10/1997,25,20,16,17,14,12,100,72,54,1018,1016,1015,8,6,3,27,3,,0,3,,53
29/10/1997,23,19,15,15,13,11,88,74,53,1018,1017,1015,10,7,4,26,11,,0,3,,50
30/10/1997,25,20,16,17,15,13,94,74,47,1023,1020,1018,10,7,5,16,11,,0,2,,11
31/10/1997,20,18,17,17,15,14,88,81,68,1021,1019,1017,6,5,5,16,11,,0,1,,299
