PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/12/1999,,,,,,,,,,,,,,,,,,,,,,
02/12/1999,,,,,,,,,,,,,,,,,,,,,,
03/12/1999,,,,,,,,,,,,,,,,,,,,,,
04/12/1999,,,,,,,,,,,,,,,,,,,,,,
05/12/1999,,,,,,,,,,,,,,,,,,,,,,
06/12/1999,,,,,,,,,,,,,,,,,,,,,,
07/12/1999,,,,,,,,,,,,,,,,,,,,,,
08/12/1999,,,,,,,,,,,,,,,,,,,,,,
09/12/1999,,,,,,,,,,,,,,,,,,,,,,
10/12/1999,,,,,,,,,,,,,,,,,,,,,,
11/12/1999,,,,,,,,,,,,,,,,,,,,,,
12/12/1999,,,,,,,,,,,,,,,,,,,,,,
13/12/1999,24,17,11,8,5,0,76,54,21,1015,1014,1014,5,3,2,10,5,,0,0,,280
14/12/1999,24,16,8,7,6,2,87,63,24,1016,1014,1013,5,2,1,14,2,,0,0,,288
15/12/1999,24,16,7,8,6,4,87,70,27,1016,1014,1013,5,2,1,13,2,,0,0,,273
16/12/1999,25,17,8,10,7,4,87,65,26,1016,1014,1013,4,2,1,6,0,,0,2,,310
17/12/1999,24,17,9,12,9,7,88,68,38,1018,1016,1015,4,2,1,8,2,,0,1,,263
18/12/1999,23,14,6,11,8,6,100,77,35,1019,1016,1015,3,1,0,8,0,,0,1,Fog,295
19/12/1999,21,13,6,13,9,5,93,75,46,1018,1016,1015,2,1,0,6,0,,0,0,,297
20/12/1999,22,13,4,9,6,3,100,72,29,1019,1017,1016,4,2,0,13,2,,0,0,Fog,284
21/12/1999,23,14,5,7,4,0,93,61,22,1018,1016,1015,6,3,1,11,2,,0,0,,278
22/12/1999,23,13,4,11,6,-2,93,64,19,1021,1018,1010,2,1,1,11,0,,0,1,,90
23/12/1999,23,14,7,7,4,-2,87,62,19,1021,1019,1018,5,2,1,10,2,,0,3,,269
24/12/1999,23,13,4,8,5,2,93,68,27,1021,1019,1018,6,3,0,10,2,,0,0,,298
25/12/1999,21,13,5,8,5,3,87,67,31,1020,1018,1010,4,2,0,10,2,,0,0,,260
26/12/1999,20,12,5,9,7,4,100,74,43,1018,1016,1015,3,2,0,0,0,,0,0,Fog,-1
27/12/1999,21,12,4,10,6,3,93,68,35,1020,1019,1018,2,1,0,10,2,,0,0,,303
28/12/1999,20,12,4,8,6,3,93,71,37,1021,1019,1018,2,1,0,8,2,,0,2,,250
29/12/1999,19,11,3,11,8,3,100,81,56,1020,1018,1015,1,1,0,6,0,,0,0,Fog,60
30/12/1999,21,12,3,8,5,2,93,70,35,1016,1014,1012,4,2,0,13,2,,0,0,,248
31/12/1999,19,10,2,10,6,2,100,83,45,1018,1015,1013,3,1,0,8,2,,0,0,Fog,83
