PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/02/1999,19,13,7,8,6,3,87,66,43,1018,1016,1014,10,6,3,14,5,,0,2,Rain,358
02/02/1999,17,11,6,7,6,4,87,70,48,1021,1019,1012,7,6,3,19,5,,0,4,Rain,285
03/02/1999,18,13,8,7,5,1,87,66,32,1024,1021,1019,10,6,5,13,8,,0,0,,308
04/02/1999,25,15,5,5,2,-5,81,56,16,1022,1020,1017,8,6,2,10,3,,0,0,,254
05/02/1999,19,12,5,8,4,1,81,60,30,1022,1020,1018,8,6,3,8,0,,0,2,,217
06/02/1999,20,13,7,7,5,2,87,63,32,1020,1019,1017,7,4,2,13,3,,0,3,,310
07/02/1999,16,11,7,9,7,5,87,74,52,1019,1018,1017,7,4,1,13,2,,0,5,,248
08/02/1999,18,14,11,11,9,6,88,75,45,1020,1018,1015,8,4,1,11,5,,0,4,Rain,324
09/02/1999,24,17,10,13,10,9,94,70,38,1020,1016,1014,8,5,0,13,5,,0,2,,298
10/02/1999,24,17,9,13,10,8,94,67,36,1017,1015,1014,7,5,1,11,2,,0,2,,208
11/02/1999,24,17,10,16,13,9,94,73,57,1019,1017,1016,4,2,0,6,0,,0,3,Fog,60
12/02/1999,24,17,11,15,13,10,94,79,50,1021,1020,1018,7,3,0,10,2,,0,2,,334
13/02/1999,25,19,13,14,12,10,94,69,44,1021,1018,1016,8,5,1,16,5,,0,0,,293
14/02/1999,25,18,12,13,11,8,88,62,34,1017,1016,1014,8,5,3,13,3,,0,4,,295
15/02/1999,26,19,12,15,12,9,88,71,34,1017,1015,1014,8,5,3,13,2,,0,3,,318
16/02/1999,23,18,14,15,13,11,88,72,53,1020,1018,1016,6,5,3,16,3,,0,5,,20
17/02/1999,25,19,14,15,13,9,94,68,36,1019,1017,1015,8,6,1,98,8,,0,2,,319
18/02/1999,25,19,13,17,13,11,94,64,41,1018,1016,1014,8,6,4,13,3,,0,2,,314
19/02/1999,23,18,14,14,12,9,88,70,41,1019,1017,1014,10,7,5,13,3,,0,2,Rain-Thunderstorm,32
20/02/1999,23,18,13,12,10,9,82,60,41,1019,1017,1015,8,7,6,13,10,,0,2,,320
21/02/1999,25,18,12,14,11,8,88,64,36,1017,1016,1015,8,6,6,14,5,,0,3,,292
22/02/1999,23,18,13,16,13,10,88,71,50,1017,1015,1014,7,5,3,10,2,,0,6,,230
23/02/1999,17,16,14,15,14,13,94,90,82,1017,1015,1013,4,3,1,14,2,,0,6,Rain,100
24/02/1999,23,16,9,13,11,9,100,73,46,1017,1015,1014,10,6,0,13,3,,0,1,Fog,16
25/02/1999,24,17,11,12,8,4,88,59,27,1016,1015,1014,8,6,4,14,3,,0,1,,324
26/02/1999,25,18,11,11,6,1,88,54,22,1017,1015,1014,8,5,3,19,5,,0,0,,289
27/02/1999,25,17,9,11,5,-2,87,49,17,1017,1015,1014,8,6,4,13,3,,0,0,,265
28/02/1999,23,16,11,9,6,-2,77,64,19,1017,1015,1014,8,6,6,10,2,,0,0,,261
