PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/06/1999,37,31,25,18,16,12,65,43,22,1005,1003,1001,10,7,5,21,6,,0,1,,90
02/06/1999,37,30,24,19,16,9,69,45,20,1003,1001,997,8,6,2,32,11,,0,2,Rain-Thunderstorm,55
03/06/1999,35,28,21,19,18,16,83,64,32,1003,1002,1000,8,7,6,10,6,,0,0,,143
04/06/1999,30,24,19,22,20,19,100,68,58,1009,1004,1001,10,6,3,37,10,,0,2,Rain-Thunderstorm,93
05/06/1999,35,28,22,21,19,17,83,59,36,1006,1005,1002,8,7,6,13,2,,0,0,,254
06/06/1999,39,32,26,23,20,17,74,44,29,1004,1002,1000,7,6,4,11,3,,0,0,,257
07/06/1999,41,33,25,24,22,19,83,54,33,1003,1000,997,10,7,5,23,5,,0,2,Rain-Thunderstorm,207
08/06/1999,40,32,25,24,21,17,83,51,27,1001,999,996,8,7,6,23,6,,0,2,Thunderstorm,237
09/06/1999,41,34,29,24,21,16,74,46,26,999,997,994,8,6,1,37,6,,0,1,Thunderstorm,188
10/06/1999,38,33,28,23,19,17,55,43,29,1000,998,996,8,7,5,16,8,,0,2,Thunderstorm,73
11/06/1999,39,33,28,23,20,16,70,49,29,1001,998,996,8,7,3,27,5,,0,1,Rain-Thunderstorm,156
12/06/1999,36,30,25,23,21,18,74,54,39,1002,999,996,8,7,5,23,13,,0,2,Thunderstorm,104
13/06/1999,39,34,29,24,21,17,74,51,27,1000,999,998,10,8,5,16,6,,0,0,,217
14/06/1999,42,36,29,21,19,16,62,42,23,1002,1000,998,8,7,5,13,6,,0,0,,238
15/06/1999,43,37,32,20,18,16,46,35,21,999,997,994,8,7,6,16,8,,0,0,,248
16/06/1999,41,36,30,22,21,19,58,41,28,998,996,995,8,6,4,19,5,,0,0,,174
17/06/1999,40,35,30,27,23,21,70,53,35,999,998,996,7,6,5,19,6,,0,2,,142
18/06/1999,39,33,28,26,26,25,84,65,45,1002,1000,998,7,7,6,19,13,,0,1,,121
19/06/1999,38,32,27,28,25,20,70,63,53,1001,999,997,8,6,1,29,13,,0,2,Rain-Thunderstorm,117
20/06/1999,30,26,22,25,22,20,94,75,65,1002,999,997,10,7,3,35,14,,0,3,Rain-Thunderstorm,69
21/06/1999,32,28,25,26,23,22,94,73,55,1002,997,995,10,8,5,37,5,,0,3,Rain-Thunderstorm,123
22/06/1999,37,31,25,26,23,21,83,62,42,997,995,992,8,7,5,11,2,,0,0,,179
23/06/1999,37,32,27,26,23,19,70,56,41,996,995,993,8,7,5,19,10,,0,1,Rain-Thunderstorm,217
24/06/1999,39,34,30,26,23,17,79,51,39,997,995,993,8,6,2,29,6,,0,1,Thunderstorm,258
25/06/1999,39,33,27,26,21,17,63,48,33,996,994,993,7,6,6,16,5,,0,0,,256
26/06/1999,39,34,31,27,25,22,75,60,42,996,994,993,7,5,3,16,5,,0,1,,168
27/06/1999,39,34,29,26,24,23,79,56,40,997,995,993,8,6,5,24,10,,0,1,,136
28/06/1999,37,33,29,27,25,23,79,66,56,1000,998,996,8,7,7,23,14,,0,1,,118
29/06/1999,35,32,29,28,24,21,89,67,47,1001,999,998,10,7,5,19,11,,0,2,,103
30/06/1999,40,34,29,27,24,22,79,58,37,999,997,995,8,6,4,21,13,,0,1,,187
