PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/11/1999,32,24,17,19,16,12,83,64,35,1013,1011,1010,5,3,1,8,0,,0,0,,357
02/11/1999,32,24,18,19,17,14,83,63,33,1014,1012,1011,4,2,1,8,2,,0,0,,270
03/11/1999,31,23,17,19,15,1,88,63,27,1014,1011,1009,4,2,1,8,2,,0,0,,181
04/11/1999,24,21,19,17,16,15,83,74,61,1011,1009,1008,4,3,1,34,5,,0,2,Rain,35
05/11/1999,31,24,18,17,14,13,77,59,33,1012,1010,1009,6,4,2,19,10,,0,2,Rain,76
06/11/1999,29,23,18,17,16,14,83,64,45,1014,1012,1010,4,2,1,13,3,,0,1,,321
07/11/1999,25,20,16,15,12,7,88,66,34,1015,1014,1013,7,4,3,21,5,,0,0,,273
08/11/1999,,,,,,,,,,,,,,,,,,,,,,
09/11/1999,,,,,,,,,,,,,,,,,,,,,,
10/11/1999,,,,,,,,,,,,,,,,,,,,,,
11/11/1999,,,,,,,,,,,,,,,,,,,,,,
12/11/1999,,,,,,,,,,,,,,,,,,,,,,
13/11/1999,,,,,,,,,,,,,,,,,,,,,,
14/11/1999,,,,,,,,,,,,,,,,,,,,,,
15/11/1999,,,,,,,,,,,,,,,,,,,,,,
16/11/1999,,,,,,,,,,,,,,,,,,,,,,
17/11/1999,,,,,,,,,,,,,,,,,,,,,,
18/11/1999,,,,,,,,,,,,,,,,,,,,,,
19/11/1999,,,,,,,,,,,,,,,,,,,,,,
20/11/1999,,,,,,,,,,,,,,,,,,,,,,
21/11/1999,,,,,,,,,,,,,,,,,,,,,,
22/11/1999,,,,,,,,,,,,,,,,,,,,,,
23/11/1999,,,,,,,,,,,,,,,,,,,,,,
24/11/1999,,,,,,,,,,,,,,,,,,,,,,
25/11/1999,,,,,,,,,,,,,,,,,,,,,,
26/11/1999,,,,,,,,,,,,,,,,,,,,,,
27/11/1999,,,,,,,,,,,,,,,,,,,,,,
28/11/1999,,,,,,,,,,,,,,,,,,,,,,
29/11/1999,,,,,,,,,,,,,,,,,,,,,,
30/11/1999,,,,,,,,,,,,,,,,,,,,,,
